Territory,Location type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
la Marina de Port,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.99,8.3625,8.866678255,10.36207564,10.58325446,10.82674682,11.14933474,10.70903184,10.60176877,12.58382984,12.86803998
la Font de la Guatlla,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.62,11.3287,12.04571467,13.03458685,12.36690619,12.84095408,13.32487149,12.75049205,14.06469104,15.81553259,16.43930659
Hostafrancs,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.27,11.1196,12.15549685,12.91395537,13.53845149,13.83274254,13.95830147,13.1377842,14.24363373,15.8080033,15.84629104
la Bordeta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.31,9.8429,10.81896477,11.93623832,12.15309019,12.7568451,12.98080368,12.3365633,13.41590695,21.06081547,18.06436537
Sants - Badal,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.94,10.7392,11.74564218,13.14803988,13.03959982,13.81882636,13.83148816,13.16657809,14.43838181,15.67708539,16.50628401
Sants,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.07,10.992,11.8899014,13.18482435,13.1483636,13.84283941,13.86195948,13.11600899,14.18232015,15.75531482,16.46279148
Les Corts,Districte,7.590490146,8.642025189,8.895366291,9.343052418,9.959507676,10.78292121,11.85260652,13.01002959,13.37718561,12.91152068,12.31365523,12.11579731,11.61552611,11.17940352,11.0105047,11.9732,13.16770295,14.22291006,14.52121466,14.95394964,14.67188926,13.84106211,15.23221174,16.76875201,17.73289415
les Corts,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.07,11.8488,13.0438272,14.33109923,14.8433164,15.0523368,14.85831544,14.0611723,15.44408394,17.08392695,17.90080766
la Maternitat i Sant Ramon,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.38,11.4229,12.90777968,13.36923631,13.58974598,14.44955938,13.96618291,12.98170304,14.78283277,15.75834104,16.65367887
Pedralbes,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.33,14.1453,14.64964017,16.21164326,15.35187324,15.6862818,15.46603603,15.06016542,15.25206594,17.48330935,19.11301194
Sarrià-Sant Gervasi,Districte,7.403037452,8.239989245,9.063605928,9.354016717,10.004104,10.84740779,11.63110269,12.70928776,13.28833332,12.85316608,12.80524772,12.79346032,12.26535202,11.72496203,11.86102026,12.9586,14.31449863,15.42947937,15.43874502,15.71223202,15.59231287,14.86400311,16.22701985,18.24403262,18.50466599
"Vallvidrera, el Tibidabo i les Planes",Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.6,12.1003,15.08012238,16.57995724,11.93202486,13.85939611,12.47392625,15.33120032,13.55842496,14.11538002,16.45086607
Sarrià,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.59,14.5361,15.93577525,17.50943899,17.24597722,16.86664535,16.97889654,15.90375279,18.19453892,19.51726472,19.40395979
les Tres Torres,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.52,13.9673,15.64418698,16.88121476,16.4250919,17.04511497,16.51571762,15.73547997,17.90151656,19.42401344,19.41066962
Sant Gervasi - la Bonanova,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.55,12.8241,14.21909036,15.37836978,16.10192362,16.03857204,15.31346169,15.12990611,15.82885909,17.81806211,17.75347967
Sant Gervasi - Galvany,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.69,12.7318,13.77720817,14.60538798,14.79178675,15.2754524,15.32322526,14.52886385,15.72726166,18.42400456,19.06482536
el Putxet i el Farró,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.01,12.3254,13.72766781,14.87682949,14.61603999,15.02764365,15.08840765,14.26998961,15.81849661,17.29302705,17.42326896
Gràcia,Districte,6.319784918,7.04289028,8.079914909,8.414799619,9.267069892,10.17566835,11.25550175,12.45310322,13.01671744,12.81079918,12.56605194,12.03090364,11.39314998,10.95420165,10.77154023,11.819,12.94746883,14.25185473,14.04427465,14.63371629,14.43855476,13.8077203,15.28460103,16.88179628,17.95716032
Vallcarca i els Penitents,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.26,11.5532,12.65328068,14.11213222,13.60509256,14.03828876,14.36747777,13.72695898,14.72901017,16.77607278,17.84659883
el Coll,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.52,9.8996,11.22777508,12.45399697,12.17377987,12.71573392,12.23276038,12.71271074,12.94574348,14.42480938,15.1971244
la Salut,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.97,11.2769,12.1143116,12.34313447,12.83777907,13.14764745,13.63891363,12.57521981,13.50935558,15.33715465,16.83978061
la Vila de Gràcia,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.25,12.305,13.49783394,15.01157645,14.59506255,15.09676059,14.91297001,14.12564754,15.95893955,17.48112955,18.37367117
el Camp d'en Grassot i Gràcia Nova,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.36,11.3303,12.4814437,13.57080447,13.82405172,14.73287262,14.07860228,13.72783214,15.13717448,16.69030949,18.03449066
