Territory,Location type,Property use typology,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Vallcarca i els Penitents,Barri,Plots/Land,2,-,-,2,7,4,2,2,2,2,1,1,-
Vallcarca i els Penitents,Barri,Facilities,-,-,-,4,-,-,2,1,-,1,2,-,-
Vallcarca i els Penitents,Barri,Not avalaible,4,3,-,3,2,1,2,-,-,-,-,3,-
el Coll,Barri,Residential,15,40,35,42,78,65,48,65,45,71,73,68,38
el Coll,Barri,Parking,5,26,16,28,38,41,24,27,23,32,29,19,13
el Coll,Barri,Commercial,3,8,-,2,9,3,11,2,6,9,7,1,8
el Coll,Barri,Office,-,-,-,-,1,-,2,2,-,1,2,-,1
el Coll,Barri,Touristic,-,3,3,-,1,-,2,1,-,-,-,-,-
el Coll,Barri,Plots/Land,-,-,-,1,1,-,-,-,9,55,-,-,-
el Coll,Barri,Facilities,-,1,-,-,-,-,-,-,-,1,-,-,-
el Coll,Barri,Not avalaible,1,3,1,-,-,-,-,-,3,-,-,-,-
la Salut,Barri,Residential,32,54,81,99,110,100,104,99,81,115,121,103,83
la Salut,Barri,Parking,18,30,42,46,56,42,51,46,37,57,55,51,51
la Salut,Barri,Commercial,1,1,3,9,9,8,7,4,8,8,16,6,6
la Salut,Barri,Office,-,2,2,9,1,2,1,4,1,-,4,1,1
la Salut,Barri,Touristic,-,1,1,2,-,-,-,-,-,-,-,2,-
la Salut,Barri,Plots/Land,-,-,-,-,-,2,-,2,-,-,2,-,1
la Salut,Barri,Industrial,-,-,-,1,-,-,4,9,-,-,-,-,-
la Salut,Barri,Facilities,1,3,-,4,2,2,-,15,16,4,2,13,2
la Salut,Barri,Not avalaible,3,12,2,-,-,-,-,6,7,-,-,9,1
la Vila de Gràcia,Barri,Residential,171,231,355,352,484,464,454,387,379,416,486,403,317
la Vila de Gràcia,Barri,Parking,55,98,86,359,116,155,97,102,104,114,166,125,98
la Vila de Gràcia,Barri,Commercial,13,26,41,46,66,64,56,48,29,27,49,48,36
la Vila de Gràcia,Barri,Office,5,13,14,22,15,17,20,34,6,10,14,7,11
la Vila de Gràcia,Barri,Touristic,19,19,26,11,34,15,10,26,17,-,1,2,3
la Vila de Gràcia,Barri,Plots/Land,-,-,1,3,3,2,13,81,-,1,1,-,2
la Vila de Gràcia,Barri,Industrial,-,-,-,-,1,-,1,-,-,1,-,-,-
la Vila de Gràcia,Barri,Facilities,-,2,3,1,4,4,2,1,-,6,8,4,1
la Vila de Gràcia,Barri,Not avalaible,31,33,43,35,64,10,3,30,5,1,25,2,-
el Camp d'en Grassot i Gràcia Nova,Barri,Residential,96,130,216,224,233,306,296,233,193,298,322,272,221
el Camp d'en Grassot i Gràcia Nova,Barri,Parking,42,59,143,96,136,140,165,104,107,92,142,116,86
el Camp d'en Grassot i Gràcia Nova,Barri,Commercial,10,13,26,16,39,45,28,32,17,27,32,34,21
el Camp d'en Grassot i Gràcia Nova,Barri,Office,2,9,16,9,7,10,8,24,10,11,6,6,1
el Camp d'en Grassot i Gràcia Nova,Barri,Touristic,1,7,3,5,14,5,5,4,-,-,3,4,-
el Camp d'en Grassot i Gràcia Nova,Barri,Plots/Land,-,-,-,-,2,-,-,8,-,-,3,-,-
el Camp d'en Grassot i Gràcia Nova,Barri,Facilities,-,-,1,1,1,-,1,-,-,-,1,-,1
el Camp d'en Grassot i Gràcia Nova,Barri,Not avalaible,10,16,13,16,83,52,4,17,1,1,1,2,1
Horta-Guinardó,Districte,Residential,377,518,832,981,1378,1503,1416,1364,1044,1415,1694,1311,1020
Horta-Guinardó,Districte,Parking,210,197,279,406,468,543,568,507,437,512,572,515,378
Horta-Guinardó,Districte,Commercial,25,36,76,86,118,139,181,177,119,130,173,172,120
Horta-Guinardó,Districte,Office,3,3,1,8,9,36,16,19,12,11,23,20,16
Horta-Guinardó,Districte,Touristic,3,7,14,8,6,19,17,6,5,-,-,-,-
Horta-Guinardó,Districte,Plots/Land,6,19,11,5,20,15,37,105,39,29,72,62,208
Horta-Guinardó,Districte,Industrial,2,-,-,1,2,3,4,2,1,4,3,-,1
Horta-Guinardó,Districte,Facilities,4,1,6,16,3,10,13,7,10,13,9,12,5
Horta-Guinardó,Districte,Not avalaible,19,26,157,68,290,61,90,17,13,40,10,6,27
el Baix Guinardó,Barri,Residential,86,95,137,159,217,251,191,191,129,207,312,213,131
el Baix Guinardó,Barri,Parking,34,25,31,55,56,53,92,68,61,61,106,73,48
el Baix Guinardó,Barri,Commercial,10,7,13,14,23,17,26,29,17,19,26,15,12
el Baix Guinardó,Barri,Office,-,-,-,2,4,6,6,5,1,-,12,1,4
el Baix Guinardó,Barri,Touristic,1,4,3,4,1,15,4,2,3,-,-,-,-
el Baix Guinardó,Barri,Plots/Land,-,-,-,-,1,-,-,-,-,1,1,-,1
el Baix Guinardó,Barri,Industrial,-,-,-,-,1,1,-,1,-,-,-,-,-
el Baix Guinardó,Barri,Facilities,1,1,2,3,-,1,3,2,1,1,1,2,3
el Baix Guinardó,Barri,Not avalaible,1,1,4,2,44,27,13,1,-,-,-,-,-
Can Baró,Barri,Residential,24,28,44,53,95,114,87,102,71,74,99,96,47
Can Baró,Barri,Parking,7,11,18,17,23,38,32,31,26,22,22,24,19
Can Baró,Barri,Commercial,1,1,5,5,5,9,6,9,4,2,9,13,14
Can Baró,Barri,Office,1,-,-,1,-,12,5,-,-,2,2,1,-
Can Baró,Barri,Touristic,1,1,1,1,-,2,-,2,2,-,-,-,-
Can Baró,Barri,Plots/Land,-,-,-,-,1,-,1,-,2,-,-,-,-
Can Baró,Barri,Facilities,-,-,-,-,-,1,-,-,1,1,1,1,-
Can Baró,Barri,Not avalaible,-,-,-,-,1,-,7,2,1,-,3,-,-
el Guinardó,Barri,Residential,74,137,229,270,311,328,361,274,222,299,399,241,236
el Guinardó,Barri,Parking,31,58,78,114,91,100,99,105,86,112,138,151,119
el Guinardó,Barri,Commercial,3,9,21,22,28,41,51,47,38,40,50,55,41
el Guinardó,Barri,Office,-,3,-,1,1,7,3,7,6,4,6,13,6
el Guinardó,Barri,Touristic,1,1,4,1,1,2,8,1,-,-,-,-,-
el Guinardó,Barri,Plots/Land,-,2,-,-,-,2,14,54,-,12,29,1,28
el Guinardó,Barri,Industrial,-,-,-,-,-,1,-,-,1,-,-,-,-
el Guinardó,Barri,Facilities,-,-,-,7,-,-,6,3,4,3,2,2,-
el Guinardó,Barri,Not avalaible,8,13,140,31,12,11,56,5,3,29,3,4,3
la Font d'en Fargues,Barri,Residential,16,41,56,66,82,102,83,82,59,83,81,80,59
la Font d'en Fargues,Barri,Parking,12,39,24,44,38,61,46,40,40,44,37,41,15
la Font d'en Fargues,Barri,Commercial,-,1,1,4,1,2,3,18,2,1,2,4,4
la Font d'en Fargues,Barri,Office,2,-,-,1,1,1,-,3,2,-,1,-,-
la Font d'en Fargues,Barri,Touristic,-,-,3,-,-,-,1,-,-,-,-,-,-
la Font d'en Fargues,Barri,Plots/Land,2,-,-,-,1,3,2,6,1,2,12,1,21
la Font d'en Fargues,Barri,Industrial,-,-,-,-,-,1,-,-,-,-,-,-,-
la Font d'en Fargues,Barri,Facilities,-,-,2,1,1,-,1,-,1,1,-,1,-
la Font d'en Fargues,Barri,Not avalaible,3,5,7,1,34,3,6,-,-,-,1,-,-
el Carmel,Barri,Residential,56,76,113,153,265,293,269,318,205,285,324,277,201
el Carmel,Barri,Parking,79,23,55,37,72,90,77,116,69,79,78,68,50
el Carmel,Barri,Commercial,2,9,15,19,26,26,40,27,27,33,38,42,22
el Carmel,Barri,Office,-,-,1,3,2,2,-,2,2,2,1,-,-
el Carmel,Barri,Touristic,-,-,-,-,-,-,3,-,-,-,-,-,-
el Carmel,Barri,Plots/Land,-,1,1,3,7,2,9,3,18,2,9,2,1
el Carmel,Barri,Industrial,-,-,-,-,-,-,1,-,-,-,1,-,-
el Carmel,Barri,Facilities,2,-,-,4,1,2,2,2,3,4,2,-,-
el Carmel,Barri,Not avalaible,2,-,2,1,-,-,2,4,1,2,-,-,9
la Teixonera,Barri,Residential,31,35,44,54,97,93,99,92,81,138,134,101,88
la Teixonera,Barri,Parking,11,8,23,24,39,58,46,45,33,49,60,41,34
la Teixonera,Barri,Commercial,-,1,3,7,6,6,11,11,9,12,12,11,9
la Teixonera,Barri,Office,-,-,-,-,-,3,2,2,1,1,-,5,2
la Teixonera,Barri,Touristic,-,-,-,-,1,-,1,-,-,-,-,-,-
la Teixonera,Barri,Plots/Land,-,-,-,-,4,2,3,21,2,2,2,15,-
la Teixonera,Barri,Facilities,-,-,-,-,-,-,-,-,-,-,-,4,1
la Teixonera,Barri,Not avalaible,1,4,2,26,196,2,-,1,1,8,3,-,-
Sant Genís dels Agudells,Barri,Residential,14,8,15,30,38,41,46,66,43,33,43,43,44
Sant Genís dels Agudells,Barri,Parking,1,1,3,2,6,18,12,14,11,20,15,18,8
Sant Genís dels Agudells,Barri,Commercial,1,2,1,1,5,7,7,2,1,2,4,3,1
Sant Genís dels Agudells,Barri,Touristic,-,-,1,-,-,-,-,-,-,-,-,-,-
Sant Genís dels Agudells,Barri,Plots/Land,4,1,2,1,1,1,5,-,2,1,5,39,-
Sant Genís dels Agudells,Barri,Facilities,1,-,-,1,-,4,1,-,-,-,-,-,-
Sant Genís dels Agudells,Barri,Not avalaible,-,1,-,-,-,-,-,-,-,-,-,-,-
Montbau,Barri,Residential,13,17,27,34,41,45,65,38,43,51,50,34,26
Montbau,Barri,Parking,-,1,2,4,9,11,14,5,7,7,11,6,1
Montbau,Barri,Commercial,1,-,1,-,1,3,3,3,6,-,2,4,2
Montbau,Barri,Office,-,-,-,-,1,-,-,-,-,-,-,-,4
Montbau,Barri,Facilities,-,-,-,-,1,-,-,-,-,2,-,-,-
la Vall d'Hebron,Barri,Residential,14,8,26,17,18,29,24,23,14,26,36,30,16
la Vall d'Hebron,Barri,Parking,5,6,3,60,9,29,45,11,36,25,14,17,9
la Vall d'Hebron,Barri,Commercial,-,-,-,3,4,3,4,6,3,3,-,2,1
la Vall d'Hebron,Barri,Plots/Land,-,-,-,-,-,-,-,-,-,-,1,-,-
la Clota,Barri,Residential,1,4,17,9,20,5,4,4,3,1,3,2,11
la Clota,Barri,Parking,-,-,-,-,-,-,-,-,-,-,-,-,12
la Clota,Barri,Plots/Land,-,-,1,-,-,1,2,2,2,1,-,-,152
la Clota,Barri,Not avalaible,1,-,-,-,-,-,-,-,-,-,-,-,12
Horta,Barri,Residential,48,69,124,136,194,202,187,174,174,218,213,194,161
Horta,Barri,Parking,30,25,42,49,125,85,105,72,68,93,91,76,63
Horta,Barri,Commercial,7,6,16,11,19,25,30,25,12,18,30,23,14
Horta,Barri,Office,-,-,-,-,-,5,-,-,-,2,1,-,-
Horta,Barri,Touristic,-,1,2,2,3,-,-,1,-,-,-,-,-
Horta,Barri,Plots/Land,-,15,7,1,5,4,1,19,12,8,13,4,5
Horta,Barri,Industrial,2,-,-,1,1,-,3,1,-,4,2,-,1
Horta,Barri,Facilities,-,-,2,-,-,2,-,-,-,1,3,2,1
Horta,Barri,Not avalaible,3,2,2,7,3,18,6,4,7,1,-,2,3
Nou Barris,Districte,Residential,433,511,761,974,1188,1421,1355,1460,1017,1566,1666,1340,1010
Nou Barris,Districte,Parking,137,173,157,277,297,295,381,370,294,395,391,358,270
Nou Barris,Districte,Commercial,35,33,64,77,105,155,159,190,126,215,167,164,128
Nou Barris,Districte,Office,3,1,3,9,18,19,12,7,7,19,5,20,9
Nou Barris,Districte,Touristic,1,-,-,-,4,-,2,-,-,-,1,-,2
Nou Barris,Districte,Plots/Land,1,6,6,7,9,27,34,12,8,7,11,18,5
Nou Barris,Districte,Industrial,-,1,-,-,2,2,-,3,-,1,-,4,1
Nou Barris,Districte,Facilities,1,1,1,2,1,5,7,7,3,6,4,10,18
Nou Barris,Districte,Not avalaible,6,77,20,184,134,31,4,7,1,1,-,3,-
Vilapicina i la Torre Llobeta,Barri,Residential,62,76,130,128,164,194,186,212,113,219,223,173,126
Vilapicina i la Torre Llobeta,Barri,Parking,18,25,52,126,73,68,73,80,81,117,75,93,86
Vilapicina i la Torre Llobeta,Barri,Commercial,8,8,19,24,12,35,43,37,19,44,24,20,23
Vilapicina i la Torre Llobeta,Barri,Office,3,1,2,2,-,4,2,1,2,11,1,3,3
Vilapicina i la Torre Llobeta,Barri,Touristic,-,-,-,-,1,-,2,-,-,-,-,-,1
Vilapicina i la Torre Llobeta,Barri,Plots/Land,-,1,-,2,4,8,23,4,2,-,-,12,1
Vilapicina i la Torre Llobeta,Barri,Facilities,1,1,-,-,-,1,1,1,-,-,1,-,1
Vilapicina i la Torre Llobeta,Barri,Not avalaible,2,29,-,-,-,1,-,5,-,1,-,1,-
Porta,Barri,Residential,72,90,91,127,182,178,188,158,121,192,192,134,110
Porta,Barri,Parking,38,45,34,38,80,66,75,75,49,66,68,60,34
Porta,Barri,Commercial,5,12,21,7,19,26,23,27,21,23,20,27,10
Porta,Barri,Office,-,-,1,3,17,12,4,2,2,3,1,2,2
Porta,Barri,Touristic,1,-,-,-,2,-,-,-,-,-,1,-,1
Porta,Barri,Plots/Land,-,2,2,2,-,6,2,1,-,2,6,3,1
Porta,Barri,Industrial,-,-,-,-,2,1,-,1,-,-,-,2,-
Porta,Barri,Facilities,-,-,-,2,-,1,2,1,-,1,1,1,13
Porta,Barri,Not avalaible,-,-,7,49,32,9,1,2,-,-,-,-,-
el Turó de la Peira,Barri,Residential,54,51,49,87,104,152,137,140,109,142,182,144,119
el Turó de la Peira,Barri,Parking,9,11,6,13,15,26,27,28,18,50,37,29,23
el Turó de la Peira,Barri,Commercial,2,1,1,4,5,9,12,14,17,37,22,10,10
el Turó de la Peira,Barri,Office,-,-,-,-,-,-,-,2,2,1,-,-,1
el Turó de la Peira,Barri,Plots/Land,-,-,-,-,-,-,3,1,-,-,-,-,-
el Turó de la Peira,Barri,Industrial,-,1,-,-,-,-,-,-,-,1,-,-,-
el Turó de la Peira,Barri,Facilities,-,-,-,-,-,-,1,1,-,1,-,1,-
el Turó de la Peira,Barri,Not avalaible,-,-,2,-,-,-,-,-,-,-,-,-,-
Can Peguera,Barri,Residential,1,1,-,-,-,6,2,5,3,3,5,6,2
Can Peguera,Barri,Parking,-,1,-,2,5,4,2,3,3,2,-,3,-
Can Peguera,Barri,Commercial,2,-,2,-,1,4,-,-,-,1,-,-,-
la Guineueta,Barri,Residential,35,41,72,83,81,103,87,81,63,89,98,83,62
la Guineueta,Barri,Parking,8,15,20,18,28,25,46,48,33,34,44,30,29
la Guineueta,Barri,Commercial,1,5,4,6,3,2,9,6,4,5,8,16,3
la Guineueta,Barri,Office,-,-,-,2,-,-,-,-,-,-,-,-,1
la Guineueta,Barri,Plots/Land,-,-,1,-,-,-,-,-,-,-,-,-,-
la Guineueta,Barri,Facilities,-,-,-,-,-,-,-,-,2,-,-,4,-
la Guineueta,Barri,Not avalaible,-,30,9,-,-,-,-,-,-,-,-,-,-
Canyelles,Barri,Residential,20,8,36,29,46,40,34,42,37,33,48,44,21
Canyelles,Barri,Parking,1,1,2,1,2,4,5,4,3,2,6,4,1
Canyelles,Barri,Commercial,1,-,-,1,1,10,4,3,4,3,3,6,4
Canyelles,Barri,Office,-,-,-,-,-,1,-,-,-,1,-,-,-
Canyelles,Barri,Plots/Land,-,-,-,-,-,1,-,-,1,4,2,1,2
Canyelles,Barri,Industrial,-,-,-,-,-,1,-,1,-,-,-,-,-
Canyelles,Barri,Facilities,-,-,-,-,-,-,-,-,1,-,-,-,-
les Roquetes,Barri,Residential,27,49,86,127,141,161,172,192,142,143,202,189,109
les Roquetes,Barri,Parking,4,7,8,10,16,21,37,30,33,20,31,24,19
les Roquetes,Barri,Commercial,2,-,2,6,10,12,15,23,9,12,21,16,11
les Roquetes,Barri,Office,-,-,-,-,-,-,-,-,-,1,1,2,-
les Roquetes,Barri,Plots/Land,-,1,-,1,1,1,2,2,-,-,2,1,-
les Roquetes,Barri,Industrial,-,-,-,-,-,-,-,1,-,-,-,2,-
les Roquetes,Barri,Facilities,-,-,-,-,-,-,2,2,-,-,1,-,1
les Roquetes,Barri,Not avalaible,2,2,-,44,11,-,-,-,-,-,-,-,-
Verdun,Barri,Residential,37,44,77,86,90,143,114,140,97,137,154,144,85
Verdun,Barri,Parking,13,17,17,23,32,31,34,25,24,28,44,30,21
Verdun,Barri,Commercial,1,1,4,7,18,10,5,17,15,36,17,13,14
Verdun,Barri,Office,-,-,-,-,1,-,-,-,-,1,-,1,-
Verdun,Barri,Plots/Land,-,-,-,-,-,1,-,4,-,-,-,-,-
Verdun,Barri,Facilities,-,-,-,-,-,-,-,-,-,2,-,2,1
Verdun,Barri,Not avalaible,-,13,-,1,-,-,2,-,1,-,-,-,-
la Prosperitat,Barri,Residential,62,79,112,158,186,215,211,230,164,224,289,197,195
la Prosperitat,Barri,Parking,14,42,13,29,36,39,68,58,42,53,56,60,39
la Prosperitat,Barri,Commercial,9,5,7,15,28,35,35,56,30,27,45,42,50
la Prosperitat,Barri,Office,-,-,-,2,-,1,6,-,-,-,2,12,2
la Prosperitat,Barri,Touristic,-,-,-,-,1,-,-,-,-,-,-,-,-
la Prosperitat,Barri,Plots/Land,-,-,-,-,1,-,-,-,-,1,-,-,-
la Prosperitat,Barri,Facilities,-,-,1,-,1,3,1,2,-,1,-,1,1
la Prosperitat,Barri,Not avalaible,1,3,2,90,88,-,1,-,-,-,-,2,-
la Trinitat Nova,Barri,Residential,20,33,49,64,84,98,85,95,65,82,106,95,57
la Trinitat Nova,Barri,Parking,30,6,3,14,5,4,8,12,5,8,22,20,13
la Trinitat Nova,Barri,Commercial,1,1,2,1,3,5,6,3,2,2,3,3,1
la Trinitat Nova,Barri,Plots/Land,-,-,-,-,3,6,2,-,-,-,-,-,-
la Trinitat Nova,Barri,Not avalaible,-,-,-,-,-,21,-,-,-,-,-,-,-
Torre Baró,Barri,Residential,12,4,11,8,8,16,11,16,20,203,19,11,20
Torre Baró,Barri,Parking,1,-,1,-,-,-,-,-,-,8,1,3,-
Torre Baró,Barri,Commercial,-,-,2,4,3,2,1,-,-,17,-,3,-
Torre Baró,Barri,Office,-,-,-,-,-,1,-,-,-,-,-,-,-
Torre Baró,Barri,Plots/Land,-,2,1,2,-,4,2,-,4,-,1,1,1
Torre Baró,Barri,Facilities,-,-,-,-,-,-,-,-,-,1,-,1,-
Torre Baró,Barri,Not avalaible,1,-,-,-,3,-,-,-,-,-,-,-,-
Ciutat Meridiana,Barri,Residential,31,34,46,70,90,103,119,142,76,95,142,114,101
Ciutat Meridiana,Barri,Parking,1,2,-,2,2,4,5,7,3,6,4,1,3
Ciutat Meridiana,Barri,Commercial,3,-,-,2,1,4,6,4,5,8,4,6,2
Ciutat Meridiana,Barri,Office,-,-,-,-,-,-,-,2,1,1,-,-,-
Ciutat Meridiana,Barri,Plots/Land,1,-,-,-,-,-,-,-,-,-,-,-,-
Ciutat Meridiana,Barri,Facilities,-,-,-,-,-,-,-,-,-,-,1,-,1
Vallbona,Barri,Residential,-,1,2,7,12,12,9,7,7,4,6,6,3
Vallbona,Barri,Parking,-,1,1,1,3,3,1,-,-,1,3,1,2
Vallbona,Barri,Commercial,-,-,-,-,1,1,-,-,-,-,-,2,-
Vallbona,Barri,Plots/Land,-,-,2,-,-,-,-,-,1,-,-,-,-
Vallbona,Barri,Industrial,-,-,-,-,-,-,-,-,-,-,-,-,1
Sant Andreu (District),-,Residential,353,412,724,804,1085,1168,1154,1119,882,1150,1208,1107,808
Sant Andreu (District),-,Parking,137,193,327,355,546,535,543,462,374,572,548,610,347
Sant Andreu (District),-,Commercial,16,43,51,91,119,270,200,181,198,164,152,152,109
Sant Andreu (District),-,Office,1,3,20,36,20,38,16,18,11,28,21,10,26
Sant Andreu (District),-,Touristic,-,1,2,2,2,-,2,-,4,1,2,1,-
Sant Andreu (District),-,Plots/Land,2,7,5,5,7,10,262,28,48,47,22,112,9
Sant Andreu (District),-,Industrial,7,4,13,11,13,12,21,10,8,10,14,11,6
Sant Andreu (District),-,Facilities,1,1,1,4,4,9,25,6,5,1,15,9,4
Sant Andreu (District),-,Not avalaible,57,169,91,83,43,25,3,11,11,34,12,17,51
la Trinitat Vella,Barri,Residential,19,19,32,46,89,104,112,101,96,94,103,132,108
la Trinitat Vella,Barri,Parking,3,4,8,16,14,14,35,23,13,28,42,31,15
la Trinitat Vella,Barri,Commercial,3,3,1,4,4,9,21,11,13,9,16,15,6
la Trinitat Vella,Barri,Office,-,-,-,2,-,-,1,-,-,-,1,1,-
la Trinitat Vella,Barri,Touristic,-,-,1,-,-,-,-,-,-,1,-,-,-
la Trinitat Vella,Barri,Plots/Land,-,-,-,1,1,-,1,-,-,1,-,-,-
la Trinitat Vella,Barri,Industrial,-,-,-,-,-,-,-,-,-,1,-,-,-
la Trinitat Vella,Barri,Facilities,-,-,-,-,-,3,-,1,-,-,4,1,-
la Trinitat Vella,Barri,Not avalaible,-,-,-,1,-,-,-,-,-,-,6,1,-
Baró de Viver,Barri,Residential,2,5,8,13,21,17,15,7,21,10,29,20,16
Baró de Viver,Barri,Parking,-,-,1,-,6,10,7,7,3,5,7,4,3
Baró de Viver,Barri,Commercial,-,-,-,1,1,4,3,4,2,3,2,2,2
el Bon Pastor,Barri,Residential,25,30,41,68,71,93,112,104,74,114,113,89,77
el Bon Pastor,Barri,Parking,10,12,14,27,29,44,56,28,24,28,27,29,34
el Bon Pastor,Barri,Commercial,3,4,2,13,9,11,12,13,13,10,10,17,10
el Bon Pastor,Barri,Office,1,-,1,1,1,4,2,-,1,1,4,-,2
el Bon Pastor,Barri,Touristic,-,-,-,-,-,-,-,-,1,-,1,-,-
el Bon Pastor,Barri,Plots/Land,-,4,1,4,1,2,1,2,2,5,-,2,-
el Bon Pastor,Barri,Industrial,7,4,13,11,11,12,21,9,8,8,14,11,5
el Bon Pastor,Barri,Facilities,-,-,-,-,-,1,-,-,-,-,-,-,-
el Bon Pastor,Barri,Not avalaible,-,-,1,-,3,9,2,-,-,-,-,-,5
Sant Andreu (Neighbourhood),-,Residential,142,167,289,305,402,433,445,436,311,436,401,390,235
Sant Andreu (Neighbourhood),-,Parking,70,99,142,154,232,299,239,215,173,250,267,228,155
Sant Andreu (Neighbourhood),-,Commercial,7,17,22,24,47,170,109,61,50,34,59,56,37
Sant Andreu (Neighbourhood),-,Office,-,3,2,8,16,17,-,10,2,4,5,5,1
Sant Andreu (Neighbourhood),-,Touristic,-,-,1,-,1,-,1,-,1,-,1,1,-
Sant Andreu (Neighbourhood),-,Plots/Land,1,2,4,-,2,8,255,25,34,34,15,92,1
Sant Andreu (Neighbourhood),-,Industrial,-,-,-,-,2,-,-,1,-,-,-,-,1
Sant Andreu (Neighbourhood),-,Facilities,-,-,-,2,3,1,22,2,3,1,1,-,1
Sant Andreu (Neighbourhood),-,Not avalaible,51,62,71,79,34,12,-,10,3,28,4,7,22
la Sagrera,Barri,Residential,65,70,171,158,156,207,187,204,161,194,215,179,136
la Sagrera,Barri,Parking,31,38,108,107,180,87,125,96,91,98,104,172,60
la Sagrera,Barri,Commercial,-,9,7,14,14,27,15,14,4,9,22,22,10
la Sagrera,Barri,Office,-,-,15,21,1,10,5,7,2,4,5,1,4
la Sagrera,Barri,Touristic,-,-,-,1,1,-,-,-,-,-,-,-,-
la Sagrera,Barri,Plots/Land,1,-,-,-,3,-,5,1,12,5,3,10,-
la Sagrera,Barri,Facilities,1,-,-,2,1,2,1,-,2,-,3,4,1
la Sagrera,Barri,Not avalaible,5,103,5,-,1,-,-,-,1,6,-,8,15
el Congrés i els Indians,Barri,Residential,42,59,80,94,121,137,117,121,91,137,148,135,101
el Congrés i els Indians,Barri,Parking,4,14,20,22,25,27,23,26,18,72,42,98,26
el Congrés i els Indians,Barri,Commercial,3,4,13,17,21,21,21,33,14,18,29,27,29
el Congrés i els Indians,Barri,Office,-,-,-,3,1,4,4,-,1,2,2,2,13
el Congrés i els Indians,Barri,Touristic,-,-,-,1,-,-,-,-,-,-,-,-,-
el Congrés i els Indians,Barri,Plots/Land,-,-,-,-,-,-,-,-,-,-,-,7,1
el Congrés i els Indians,Barri,Industrial,-,-,-,-,-,-,-,-,-,1,-,-,-
el Congrés i els Indians,Barri,Facilities,-,-,-,-,-,1,1,1,-,-,-,4,1
el Congrés i els Indians,Barri,Not avalaible,1,4,13,2,4,3,1,1,1,-,-,-,1
Navas,Barri,Residential,58,62,103,120,225,177,166,146,128,165,199,162,135
Navas,Barri,Parking,19,26,34,29,60,54,58,67,52,91,59,48,54
Navas,Barri,Commercial,-,6,6,18,23,28,19,45,102,81,14,13,15
Navas,Barri,Office,-,-,2,1,1,3,4,1,5,17,4,1,6
Navas,Barri,Touristic,-,1,-,-,-,-,1,-,2,-,-,-,-
Navas,Barri,Plots/Land,-,1,-,-,-,-,-,-,-,2,4,1,7
Navas,Barri,Facilities,-,1,1,-,-,1,1,2,-,-,7,-,1
Navas,Barri,Not avalaible,-,-,1,1,1,1,-,-,6,-,2,1,8
Sant Martí,Districte,Residential,738,954,1650,1548,1964,2164,1970,1902,1366,1865,2306,1886,1339
Sant Martí,Districte,Parking,531,510,1265,879,1019,1165,1120,953,673,1005,1067,1022,673
Sant Martí,Districte,Commercial,47,65,91,132,184,185,189,213,143,195,218,154,127
Sant Martí,Districte,Office,17,30,43,43,64,49,98,82,37,73,37,28,22
Sant Martí,Districte,Touristic,23,32,40,183,32,21,34,11,5,7,19,1,4
Sant Martí,Districte,Plots/Land,21,6,7,37,11,44,123,94,55,249,135,84,62
Sant Martí,Districte,Industrial,11,18,37,34,69,139,89,59,39,55,36,52,72
Sant Martí,Districte,Facilities,1,1,5,7,4,3,3,7,2,6,36,6,1
Sant Martí,Districte,Not avalaible,112,102,341,250,196,100,10,17,19,20,59,22,22
el Camp de l'Arpa del Clot,Barri,Residential,113,159,203,255,360,396,360,311,255,330,403,302,201
el Camp de l'Arpa del Clot,Barri,Parking,44,48,76,74,97,149,150,118,85,87,119,129,72
el Camp de l'Arpa del Clot,Barri,Commercial,5,14,11,17,28,40,35,33,23,22,26,27,19
el Camp de l'Arpa del Clot,Barri,Office,1,-,9,5,2,4,36,14,7,-,9,3,10
el Camp de l'Arpa del Clot,Barri,Touristic,-,5,3,6,19,5,1,-,1,-,-,-,-
el Camp de l'Arpa del Clot,Barri,Plots/Land,-,-,1,2,2,13,-,9,3,-,4,22,18
el Camp de l'Arpa del Clot,Barri,Industrial,-,-,-,-,-,-,-,-,-,-,-,1,-
el Camp de l'Arpa del Clot,Barri,Facilities,-,1,-,-,-,-,-,1,-,3,2,-,-
el Camp de l'Arpa del Clot,Barri,Not avalaible,8,6,14,2,2,68,-,11,-,6,4,5,4
el Clot,Barri,Residential,53,63,126,140,171,191,212,175,140,182,185,148,140
el Clot,Barri,Parking,22,42,45,66,75,59,83,77,56,82,83,83,79
el Clot,Barri,Commercial,3,5,13,9,15,20,28,19,18,12,43,20,15
el Clot,Barri,Office,-,1,-,4,3,2,2,-,-,1,3,-,-
el Clot,Barri,Touristic,2,1,2,-,-,1,-,1,-,-,-,-,-
el Clot,Barri,Plots/Land,-,-,-,-,-,-,3,-,-,23,52,-,-
el Clot,Barri,Industrial,-,-,-,-,-,-,1,-,-,1,2,1,-
el Clot,Barri,Facilities,-,-,-,-,-,-,1,-,2,-,26,3,-
el Clot,Barri,Not avalaible,2,-,6,6,13,1,2,2,1,3,10,1,-
el Parc i la Llacuna del Poblenou,Barri,Residential,23,42,78,90,101,128,69,90,72,114,253,148,88
el Parc i la Llacuna del Poblenou,Barri,Parking,27,26,192,62,104,89,77,90,57,89,255,132,57
el Parc i la Llacuna del Poblenou,Barri,Commercial,6,8,15,16,20,12,11,21,19,26,12,7,9
