Territory,Location type,Property use typology,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
el Barri Gòtic,Barri,Office,5,11,21,10,9,9,6,18,3,1,12,9,3
el Barri Gòtic,Barri,Touristic,4,8,9,8,9,4,6,4,8,3,4,1,1
el Barri Gòtic,Barri,Facilities,-,-,2,-,-,1,2,2,-,-,-,-,1
el Barri Gòtic,Barri,Not avalaible,32,39,8,35,98,37,5,-,-,-,2,3,7
la Barceloneta,Barri,Residential,73,128,174,232,271,206,175,185,130,171,225,197,137
la Barceloneta,Barri,Parking,1,7,10,18,127,10,16,13,15,332,17,11,14
la Barceloneta,Barri,Commercial,4,6,13,17,14,8,13,5,19,13,9,7,8
la Barceloneta,Barri,Office,-,1,-,1,-,1,-,-,-,-,3,-,-
la Barceloneta,Barri,Touristic,-,-,2,3,2,1,3,2,1,2,-,-,1
la Barceloneta,Barri,Plots/Land,-,-,-,-,-,2,-,6,1,-,-,-,1
la Barceloneta,Barri,Industrial,-,-,-,-,-,-,-,-,-,-,-,-,1
la Barceloneta,Barri,Facilities,-,-,2,1,1,-,-,-,-,-,-,1,-
la Barceloneta,Barri,Not avalaible,2,5,4,34,7,1,1,4,-,-,-,-,3
"Sant Pere, Santa Caterina i la Ribera",Barri,Residential,129,211,270,311,396,366,259,278,186,267,377,340,195
"Sant Pere, Santa Caterina i la Ribera",Barri,Parking,89,107,103,46,41,63,47,46,18,23,33,48,23
"Sant Pere, Santa Caterina i la Ribera",Barri,Commercial,10,11,27,27,42,34,26,30,14,15,35,34,19
"Sant Pere, Santa Caterina i la Ribera",Barri,Office,12,2,3,29,10,10,19,9,5,2,9,4,5
"Sant Pere, Santa Caterina i la Ribera",Barri,Touristic,3,6,-,3,2,1,2,5,1,-,-,1,1
"Sant Pere, Santa Caterina i la Ribera",Barri,Plots/Land,-,-,1,1,3,1,-,-,-,-,-,-,-
"Sant Pere, Santa Caterina i la Ribera",Barri,Industrial,-,-,-,-,-,-,-,-,-,1,-,-,-
"Sant Pere, Santa Caterina i la Ribera",Barri,Facilities,-,2,1,1,-,-,1,-,19,1,-,1,-
"Sant Pere, Santa Caterina i la Ribera",Barri,Not avalaible,13,24,40,14,83,23,7,-,-,-,-,-,-
Eixample,Districte,Residential,810,1182,1794,2011,2376,2292,2058,2208,1510,2293,2728,2260,1753
Eixample,Districte,Parking,566,565,827,1076,1122,1221,1184,1238,909,951,1308,1068,737
Eixample,Districte,Commercial,85,122,206,280,298,264,274,273,191,170,239,234,204
Eixample,Districte,Office,60,123,177,201,225,211,205,297,161,212,197,180,113
Eixample,Districte,Touristic,120,188,118,127,116,83,67,67,38,19,11,43,13
Eixample,Districte,Plots/Land,1,-,-,-,2,1,1,3,25,1,1,25,-
Eixample,Districte,Industrial,-,-,2,2,1,-,3,3,2,3,3,4,2
Eixample,Districte,Facilities,5,15,22,21,24,13,25,46,14,11,23,18,28
Eixample,Districte,Not avalaible,113,96,212,127,241,271,41,26,14,33,31,39,14
