Territory,Location type,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Montbau,Barri,1919,1470,1597.962963,1973.735294,1847,2182.111111,2357.292308,2470.473684,2492.906977,2428.666667,2512.18,2455.470588,2752.923077
la Vall d'Hebron,Barri,2222.785714,2223,2075.692308,2502,2185.833333,3113.758621,3336.916667,2822.26087,3113,3442.846154,3227.222222,3404.3,3254.8125
la Clota,Barri,-,-,872.8666667,1709.285714,758.4705882,-,-,-,-,-,-,-,3454.727273
Horta,Barri,2157.478261,1760.451613,1744.972477,1910.306452,2076.840237,2378.850575,2655.139241,2732.509434,2688.877049,2678.20339,2802.94709,2920.802326,3320.711864
Nou Barris,Districte,1667.789976,1535.577154,1398.109439,1759.363243,1621.141459,1916.486387,2174.429784,2190.882562,2098.32,2072.798165,2478.159259,2352.938224,2468.083333
Vilapicina i la Torre Llobeta,Barri,1816.868852,1621.378378,1639.983871,1884.818182,2047.477419,2459.721053,2647.284091,2772.835821,2636.523364,2843.178404,2830.705069,2969.361963,3275.508197
Porta,Barri,1837.728571,1825.877778,1690.733333,1942.382114,1994.70122,2383.028902,2503.982249,2620.785714,2502.949153,2697.232432,2770.211957,2564.409091,2788.834862
el Turó de la Peira,Barri,1388.462963,1513.08,1340.142857,1941.16092,1493.798077,1811.895833,2142.768657,2105.611511,1966.266055,2097.366197,2313.937143,2488.576389,2406.378151
Can Peguera,Barri,-,-,-,-,-,1715.833333,-,2064.4,-,-,2264,2832.333333,-
la Guineueta,Barri,1985.71875,1648.7,1760.362319,1756.012346,1834.151899,2140.65625,2360.952381,2398.4375,2242.540984,2364.069767,2680.561224,2421.753086,2613.419355
Canyelles,Barri,1484.0625,1513.125,1186.235294,1531.740741,1584.102564,1686.230769,1952.787879,1860.731707,2002.162162,1988.818182,2126.574468,2234.186047,2454.333333
les Roquetes,Barri,1415.692308,1301.208333,1126.074074,1485.966667,1278.38806,1507.359477,1889.222892,1918.681319,1842.863309,1845.28777,2157.06701,1959.318436,2145.371429
Verdun,Barri,1585.864865,1440.146341,1367.567568,1832.097561,1552.151163,1815.898551,2220.530973,2066.725926,2088.565217,2061.278195,2370.026316,2185,2402.8125
la Prosperitat,Barri,1884.983871,1688.346154,1477.4,1878.75974,1765.413408,2032.540284,2336.609756,2362.875,2223.859873,2295.898148,2656.787456,2441.062176,2575.005435
la Trinitat Nova,Barri,1227.578947,1208.878788,950.755102,1403.032787,1218.674699,1502.831579,1673.180723,1800.053191,1728.671875,1757.038462,2052.207547,2210.731183,2117.732143
Torre Baró,Barri,1990.727273,-,-,-,-,1103.666667,797,-,1018,830.0199005,1324.75,1124.6,1313.125
Ciutat Meridiana,Barri,1243.333333,957.2941176,689.5652174,1482.046875,930.0333333,1139.431373,1516.789916,1485.78169,1528.881579,1603.768421,2364.316901,1930.27193,1644.554455
Vallbona,Barri,-,-,-,1929.4,1021.555556,1120.166667,1119,-,1194.8,-,1331,1115.166667,-
Sant Andreu (District),-,2150.997024,1755.832487,1823.078056,1990.359684,1993.997079,2419.230419,2626.141798,2717.250723,2670.7339,2746.759963,2905.204329,2809.738841,2961.373057
la Trinitat Vella,Barri,1336.777778,1120,1039.535714,1658.261905,1112.13253,1542.12,1661.787037,1703.43299,1430.049383,1509.022989,2236.96875,1815.320611,2080.150943
Baró de Viver,Barri,-,613.2,438.5,634.3076923,660.8571429,1124.352941,1121.8,1438.285714,1459.333333,1412.4,1436.172414,1710.75,1643.9375
el Bon Pastor,Barri,1556.736842,1592.7,1540.225,1619.738462,1538.652174,1931.75,2150.7,2175.019802,2134.123288,2080.990991,2351.823009,2180.409091,2317.253333
Sant Andreu (Neighbourhood),-,2364.75188,1828.746835,1940.338462,2023.963504,2381.871935,2693.245478,2895.269923,2906.889182,2984.35461,3049.715347,3163.331522,3084.80791,3277.688679
la Sagrera,Barri,2337.938462,1806.545455,2042.565476,2173.232258,2180.552632,2531.837438,2793.340659,3009.455446,2949.391026,2897.663158,3053.359223,3304.117978,3193.045802
el Congrés i els Indians,Barri,2005.261905,1768.517241,1551.907895,1919.096774,2069.771186,2341.022727,2668.891892,2712.096491,2739.466667,2784.861538,2997.205479,2675.216418,3072.20202
Navas,Barri,2061.631579,1877.982759,1798.606061,2201.82906,1777.230415,2618.309942,2864.847561,2948.985401,2895.816667,3011.442177,3059.22335,3081.912162,3370.526316
Sant Martí,Districte,2431.740278,2122.191097,2168.535759,2480.663237,2458.137339,3001.086641,3070.032655,3029.048576,3040.110599,3096.090251,3493.801609,3378.450519,3598.076383
el Camp de l'Arpa del Clot,Barri,2340.888889,1985.142857,2006.005435,2314.659836,2502.087087,3106.177465,3377.91875,3286.861314,3251.446352,3182.456592,3409.435967,3538.286219,3614.331551
el Clot,Barri,2223.132075,1869.133333,1985.16129,2145.037594,2443.041667,2955.387097,2964.373737,3167.662338,3235.303704,3162.727273,3618.596685,3395.431655,3561.050725
el Parc i la Llacuna del Poblenou,Barri,2425.782609,2120.547619,2070.763158,2785.359551,2746.69697,3394.543307,3683.104478,3673.896552,3536.098592,3751.56,4123.829365,4053.205479,4364.505747
la Vila Olímpica del Poblenou,Barri,3438.266667,3011.4,2986.339286,3296.34,3782.125,4430.044776,4404.960784,3364.970149,4428.064516,4180.472727,4550.8,4924.734375,4951.294118
el Poblenou,Barri,2648.841121,2492.715026,2550.992188,2717.55102,2924.234286,3620.130742,3768.421233,3754.946619,3862.781095,3940.328467,4387.012579,4052.491228,4585.115942
Diagonal Mar i el Front Marítim del Poblenou,Barri,4411.210526,4182.382022,2970.679558,5118.350427,4210.761062,5241.33121,4748.452991,4261.267241,4490.722222,3889.188034,5214.236111,5066.133333,5362.658824
el Besòs i el Maresme,Barri,1573.424658,1363.010309,1212.029412,1743.150602,1554.626168,1824.913223,2004.262911,2034.822034,2033.326389,2331.186667,2735.284698,2418.328302,2535.445714
Provençals del Poblenou,Barri,2319.178571,1604.56,1756.12766,2091.367925,2266.329193,2876.214634,3004.73743,2940.283133,2852.163462,2864.586466,3205.596491,3209.308943,3435.447917
Sant Martí de Provençals,Barri,1858.602273,1523.486726,1543.703448,1908.658537,1988.129534,2224.923077,2442.11399,2481.015306,2516.088235,2603.210526,2694.65368,2661.876238,2914.580645
la Verneda i la Pau,Barri,1658.512821,1449.988235,1522.598425,1842.4375,1733.46114,2027.572034,2115.495798,2278.004673,2202.11399,2201.934579,2353.834677,2290.782178,2407.413333
